"Order","Level","Code","Parent","Code","Parent","Description","Remark"
"2236379","1","1400",,"H02",,"Generation, conversion, or distribution of electric power",
"2236380","1","1410",,"H03",,"Basic electronic circuitry",
"2236381","1","1420",,"H04",,"Electric communication technique",
"2236382","1","1430",,"H05",,"Electric techniques not otherwise provided for",
"2236383","1","1440",,"HT",,"High tech - total",
"2236384","1","1450",,"AVI",,"Aviation",
"2236385","1","1460",,"CAB",,"Computer and automated business equipment",
"2236386","1","1470",,"CTE",,"Communication technology",
"2236387","1","1480",,"LSR",,"Laser",
"2236388","1","1490",,"MGE",,"Micro-organism and genetic engineering",
"2236389","1","1500",,"SMC",,"Semiconductors",
"2236390","1","1510",,"ICT",,"Information and communication technology (ICT) - total",
"2236391","1","1520",,"COE",,"Consumer electronics",
"2236392","1","1530",,"COM",,"Computers, office machinery",
"2236393","1","1540",,"TEL",,"Telecommunications",
"2236394","1","1550",,"ICT_OTH",,"Other ICT",
"2236395","1","1560",,"BIO",,"Biotechnology sector - total",
"2236396","1","1570",,"Y02",,"Technologies or applications for mitigation or adaptation against climate change",
"2236397","1","1580",,"Y02C",,"Capture, storage, sequestration or disposal of greenhouse gases",
"2236398","1","1590",,"Y02C10",,"CO2 capture or storage",
"2236399","1","1600",,"Y02C1002",,"CO2 capture by biological separation",
"2236400","1","1610",,"Y02C1004",,"CO2 capture by chemical separation",
"2236401","1","1620",,"Y02C1006",,"CO2 capture by absorption",
"2236402","1","1630",,"Y02C1008",,"CO2 capture by adsorption",
"2236403","1","1640",,"Y02C1010",,"CO2 capture by membranes or diffusion",
"2236404","1","1650",,"Y02C1012",,"CO2 capture by rectification and condensation",
"2236405","1","1660",,"Y02C1014",,"Subterranean or submarine CO2 storage",
"2236406","1","1670",,"Y02C20",,"Capture or disposal of greenhouse gases other than CO2",
"2236407","1","1680",,"Y02C2010",,"Capture or disposal of nitrous oxide",
"2236408","1","1690",,"Y02C2020",,"Capture or disposal of methane",
"2236409","1","1700",,"Y02C2030",,"Capture or disposal of perfluorocarbons, hydrofluorocarbons or sulfur hexafluoride",
"2236410","1","1710",,"Y02E",,"Reduction of greenhouse gases emission, related to energy generation, transmission or distribution",
"2236411","1","1720",,"Y02E10",,"Energy generation through renewable energy sources",
"2236412","1","1730",,"Y02E1010",,"Renewable energy sources: Geothermal energy",
"2236413","1","1740",,"Y02E1020",,"Renewable energy sources: Hydro energy",
"2236414","1","1750",,"Y02E1030",,"Renewable energy sources: Energy from sea",
"2236415","1","1760",,"Y02E1040",,"Renewable energy sources: Solar thermal energy",
"2236416","1","1770",,"Y02E1050",,"Renewable energy sources: Photovoltaic energy",
"2236417","1","1780",,"Y02E1060",,"Renewable energy sources: Thermal-Photovoltaic hybrids",
"2236418","1","1790",,"Y02E1070",,"Renewable energy sources: Wind energy",
"2236419","1","1800",,"Y02E20",,"Combustion technologies with mitigation potential",
"2236420","1","1810",,"Y02E2010",,"Combined combustion",
"2236421","1","1820",,"Y02E2030",,"Technologies for a more efficient combustion or heat usage",
"2236422","1","1830",,"Y02E30",,"Energy generation of nuclear origin",
"2236423","1","1840",,"Y02E3010",,"Fusion reactors",
"2236424","1","1850",,"Y02E3030",,"Nuclear fission reactors",
"2236425","1","1860",,"Y02E40",,"Technologies for an efficient electrical power generation, transmission or distribution",
"2236426","1","1870",,"Y02E4010",,"Flexible AC transmission systems",
"2236427","1","1880",,"Y02E4020",,"Active power filtering",
"2236428","1","1890",,"Y02E4030",,"Reactive power compensation",
"2236429","1","1900",,"Y02E4040",,"Arrangements for reducing harmonics",
"2236430","1","1910",,"Y02E4050",,"Arrangements for eliminating or reducing asymmetry in polyphase networks",
"2236431","1","1920",,"Y02E4060",,"Superconducting electric elements and equipment",
"2236432","1","1930",,"Y02E4070",,"Methods and systems for the efficient management or operation of electric power systems",
"2236433","1","1940",,"Y02E50",,"Technologies for the production of fuel of non-fossil origin",
"2236434","1","1950",,"Y02E5010",,"Biofuels",
"2236435","1","1960",,"Y02E5030",,"Fuel from waste",
"2236436","1","1970",,"Y02E60",,"Technologies with potential or indirect contribution to GHG emissions mitigation",
"2236437","1","1980",,"Y02E6010",,"Energy storage",
"2236438","1","1990",,"Y02E6030",,"Hydrogen technology",
"2236439","1","2000",,"Y02E6050",,"Fuel cells",
"2236440","1","2010",,"Y02E70",,"Other energy conversion or management systems reducing GHG emissions",
"2236441","1","2020",,"Y02E7010",,"Hydrogen from electrolysis with energy of non-fossil origin","e.g. PV, wind power, nuclear"
"2236442","1","2030",,"Y02E7020",,"Systems combining fuel cells with production of fuel of non-fossil origin",
"2236443","1","2040",,"Y02E7030",,"Systems combining energy storage with energy generation of non-fossil origin",
"2236444","1","2050",,"Y02E7040",,"Batteries, ultracapacitors, supercapacitors or double-layer capacitors, charging or discharging systems or methods for reducing GHG emissions",
"2236445","1","2060",,"UNK",,"Unknown",
"2236447","1","2080",,"NRG",,"Energy technologies - total",
"2236448","1","2090",,"BFS",,"Biofuels",
"2236449","1","2100",,"BMA",,"Biomass",
"2236450","1","2110",,"CCS",,"Carbon Capture and Storage",
"2236451","1","2120",,"EBU",,"Efficient Buildings",
"2236452","1","2130",,"FCE",,"Fuel cells",
"2236453","1","2140",,"GTH",,"Geothermal",
"2236454","1","2150",,"HEP",,"Heat pump",
"2236455","1","2160",,"HEX",,"Heat exchange",
"2236456","1","2170",,"HYD",,"Hydrogen",
"2236457","1","2180",,"LGT",,"Lighting",
"2236458","1","2190",,"SEN",,"Stirling engines",
"2236459","1","2200",,"SMG",,"Smart grids",
"2236460","1","2210",,"SOL",,"Solar",
"2236461","1","2220",,"STR",,"Storage and transport",
"2236462","1","2230",,"TEN",,"Traditional engines",
"2236463","1","2240",,"TWA",,"Tide and wave",
"2236464","1","2250",,"WHR",,"Waste heat recovery",
"2236465","1","2260",,"WND",,"Wind",
"2236466","1","2270",,"Y01N",,"Nanotechnology - total",
"2236467","1","2280",,"Y01N2",,"Nanobiotechnology",
"2236468","1","2290",,"Y01N4",,"Nanotechnology for information processing, storage and transmission",
"2236469","1","2300",,"Y01N6",,"Nanotechnology for materials and surface science",
"2236470","1","2310",,"Y01N8",,"Nanotechnology for interacting, sensing or actuating",
"2236471","1","2320",,"Y01N10",,"Nano optics",
"2236472","1","2330",,"Y01N12",,"Nanomagnetics",
